airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air Asia,2019-06-24,delhi,cochin,07:55:00,13:25:00,330,1.0,no info,6152
Jet Airways,2019-03-01,banglore,new delhi,11:40:00,09:30:00,1310,1.0,no info,25735
Jet Airways,2019-06-24,delhi,cochin,05:30:00,12:35:00,425,2.0,no info,14441
Spicejet,2019-06-09,kolkata,banglore,09:00:00,11:25:00,145,0.0,no check-in baggage included,3841
Air India,2019-03-24,kolkata,banglore,20:30:00,12:30:00,960,1.0,no info,12173
Multiple Carriers,2019-06-06,delhi,cochin,06:00:00,21:00:00,900,1.0,no info,7005
Multiple Carriers,2019-05-18,delhi,cochin,07:05:00,16:10:00,545,1.0,no info,9646
Air Asia,2019-03-21,delhi,cochin,20:10:00,07:10:00,660,1.0,no info,6151
Air India,2019-05-09,delhi,cochin,12:00:00,19:15:00,435,2.0,no info,8918
Jet Airways,2019-06-12,delhi,cochin,08:10:00,04:25:00,1215,2.0,no info,14300
Jet Airways,2019-05-09,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,no info,5678
Jet Airways,2019-05-15,kolkata,banglore,20:00:00,08:15:00,735,1.0,no info,13941
Jet Airways,2019-03-06,banglore,new delhi,08:55:00,23:00:00,845,1.0,no info,16736
Jet Airways,2019-05-18,delhi,cochin,20:00:00,04:25:00,505,2.0,no info,16263
Air India,2019-06-03,delhi,cochin,07:10:00,19:15:00,725,2.0,no info,12698
Indigo,2019-06-09,kolkata,banglore,19:35:00,23:15:00,220,1.0,no info,5276
Vistara,2019-05-27,delhi,cochin,14:40:00,17:50:00,190,0.0,no info,6216
Jet Airways,2019-04-01,kolkata,banglore,16:30:00,22:35:00,365,1.0,no info,12681
Jet Airways,2019-05-18,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,7229
Indigo,2019-03-09,chennai,kolkata,13:20:00,15:35:00,135,0.0,no info,6297
Jet Airways,2019-05-18,delhi,cochin,19:30:00,12:35:00,1025,2.0,no info,13014
Air India,2019-05-12,kolkata,banglore,12:00:00,18:30:00,1830,2.0,no info,10676
Indigo,2019-06-06,banglore,delhi,23:30:00,02:20:00,170,0.0,no info,4591
Indigo,2019-05-09,chennai,kolkata,05:15:00,07:40:00,145,0.0,no info,3540
Indigo,2019-05-12,chennai,kolkata,22:05:00,00:25:00,140,0.0,no info,5277
Vistara,2019-05-15,banglore,delhi,19:30:00,22:15:00,165,0.0,no info,4878
Jet Airways,2019-05-06,kolkata,banglore,18:55:00,16:20:00,1285,1.0,no info,13584
Jet Airways,2019-05-27,delhi,cochin,11:30:00,04:25:00,1015,1.0,in-flight meal not included,12898
Indigo,2019-05-27,delhi,cochin,17:05:00,22:15:00,310,1.0,no info,6373
Spicejet,2019-06-09,chennai,kolkata,17:45:00,20:05:00,140,0.0,no check-in baggage included,3543
Air India,2019-05-21,delhi,cochin,17:40:00,23:00:00,320,1.0,no info,8067
Jet Airways,2019-06-01,delhi,cochin,14:00:00,12:35:00,1355,1.0,in-flight meal not included,10262
Multiple Carriers,2019-06-01,delhi,cochin,18:00:00,01:30:00,450,1.0,no info,7933
Jet Airways,2019-05-01,kolkata,banglore,20:00:00,10:05:00,845,1.0,in-flight meal not included,8586
Indigo,2019-05-09,kolkata,banglore,09:20:00,14:15:00,295,1.0,no info,11465
Vistara,2019-04-01,kolkata,banglore,17:00:00,09:05:00,965,1.0,no info,8662
Jet Airways,2019-05-27,delhi,cochin,13:25:00,19:00:00,1775,2.0,no info,15129
Air India,2019-03-12,mumbai,hyderabad,05:05:00,16:55:00,710,2.0,no info,16172
Spicejet,2019-06-09,kolkata,banglore,06:55:00,09:30:00,155,0.0,no check-in baggage included,3841
Indigo,2019-03-21,delhi,cochin,09:10:00,15:30:00,380,1.0,no info,9709
Air India,2019-05-12,mumbai,hyderabad,13:55:00,15:25:00,90,0.0,no info,3100
